# Project : 
# User    : 
# File : Damping_66.dat
#
# Constants used in computations :
#     Reference length     :     1.0000 
#     Water density (rho)  :  1025.0000
#     Gravity acceleration :     9.8100
#     Waterdepth           :  Inf. 
#     Ref.pt incident wave : (     -0.0015  -0.0005)
#            Forward speed :   0.0000  m/s   
#
# Reference point of body 1: (    0.000    0.000    0.000)
# MEANVALUE :   0.0000E+00
#   AMP/PHASE
#------------------------------------------------------------------------
#RAOTYPE    :  WAVE-DAMPING
#COMPONENT  : 66
#UNIT       :  kg*m*m/s/rad
#NBHEADING   1
#HEADING          0.00
#---w(r/s)-----------------------------------------------------
  0.0628 -9.823318E-09      0.0000
  0.1256  2.746340E-06      0.0000
  0.1884  6.211867E-05      0.0000
  0.2512  4.989646E-04      0.0000
  0.3140  2.414268E-03      0.0000
  0.3768  8.572473E-03      0.0000
  0.4396  2.465801E-02      0.0000
  0.5024  6.084143E-02      0.0000
  0.5652  1.334814E-01      0.0000
  0.6280  2.666632E-01      0.0000
  0.6908  4.929486E-01      0.0000
  0.7536  8.522605E-01      0.0000
  0.8164  1.387191E+00      0.0000
  0.8792  2.133194E+00      0.0000
  0.9420  3.104192E+00      0.0000
  1.0048  4.279091E+00      0.0000
  1.0676  5.598914E+00      0.0000
  1.1304  6.981782E+00      0.0000
  1.1932  8.346453E+00      0.0000
  1.2560  9.646478E+00      0.0000
  1.3188  1.085415E+01      0.0000
  1.3816  1.197872E+01      0.0000
  1.4444  1.304244E+01      0.0000
  1.5072  1.407974E+01      0.0000
  1.5700  1.512319E+01      0.0000
  1.6328  1.623704E+01      0.0000
  1.6956  1.749785E+01      0.0000
  1.7584  1.900565E+01      0.0000
  1.8212  2.085123E+01      0.0000
  1.8840  2.305885E+01      0.0000
  1.9468  2.552549E+01      0.0000
  2.0096  2.801639E+01      0.0000
  2.0724  3.026439E+01      0.0000
  2.1352  3.212068E+01      0.0000
  2.1980  3.361937E+01      0.0000
  2.2608  3.489080E+01      0.0000
  2.3236  3.600656E+01      0.0000
  2.3864  3.689924E+01      0.0000
  2.4492  3.742324E+01      0.0000
  2.5120  3.749460E+01      0.0000
  2.5748  3.712999E+01      0.0000
  2.6376  3.642096E+01      0.0000
  2.7004  3.545567E+01      0.0000
  2.7632  3.429871E+01      0.0000
  2.8260  3.300644E+01      0.0000
  2.8888  3.163735E+01      0.0000
  2.9516  3.024576E+01      0.0000
  3.0144  2.887338E+01      0.0000
  3.0772  2.754779E+01      0.0000
  3.1400  2.628045E+01      0.0000
  3.2028  2.505670E+01      0.0000
  3.2656  2.384439E+01      0.0000
  3.3284  2.261060E+01      0.0000
  3.3912  2.132862E+01      0.0000
  3.4540  1.998414E+01      0.0000
  3.5168  1.855994E+01      0.0000
  3.5796  1.702940E+01      0.0000
  3.6424  1.534047E+01      0.0000
  3.7052  1.339836E+01      0.0000
  3.7680  1.106717E+01      0.0000
  3.8308  8.598368E+00      0.0000
  3.8936  8.462923E+00      0.0000
  3.9564  9.691228E+00      0.0000
  4.0192  8.839466E+00      0.0000
  4.0820  5.132981E+00      0.0000
  4.1448  4.472411E+00      0.0000
  4.2076  5.168033E+00      0.0000
  4.2704  4.966876E+00      0.0000
  4.3332  7.458485E-01      0.0000
  4.3960  5.466349E+00      0.0000
  4.4588  8.031392E+00      0.0000
  4.5216  8.742375E+00      0.0000
  4.5844  9.490965E+00      0.0000
  4.6472  4.751317E+00      0.0000
  4.7100  7.113555E+00      0.0000
  4.7728  6.704932E+00      0.0000
  4.8356  7.612881E+00      0.0000
  4.8984  6.655595E+00      0.0000
  4.9612  5.846751E+00      0.0000
  5.0240  7.064485E+00      0.0000
  5.0868  5.404429E+00      0.0000
  5.1496  5.938282E+00      0.0000
  5.2124  5.528097E+00      0.0000
  5.2752  5.108917E+00      0.0000
  5.3380  4.398470E+00      0.0000
  5.4008  3.628583E+00      0.0000
  5.4636  3.024380E+00      0.0000
  5.5264  2.639612E+00      0.0000
  5.5892  2.362806E+00      0.0000
  5.6520  2.024548E+00      0.0000
  5.7148  1.635188E+00      0.0000
  5.7776  1.265125E+00      0.0000
  5.8404  9.845173E-01      0.0000
  5.9032  8.714038E-01      0.0000
  5.9660  9.621171E-01      0.0000
  6.0288  1.346973E+00      0.0000
  6.0916  1.177636E+00      0.0000
  6.1544  1.385804E+00      0.0000
  6.2172  9.839741E-01      0.0000
  6.2800  1.341895E+00      0.0000
#------------------------------------------------------------
#ENDFILE Damping_66.dat                                                                                                                                        
